name,ノ,炎,水,電,草,氷,格,毒,地,飛,超,虫,岩,霊,竜,悪,鋼,妖
ノ,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,1,1,0.5,1
炎,1,0.5,0.5,1,2,2,1,1,1,1,1,2,0.5,1,0.5,1,2,1
水,1,2,0.5,1,0.5,1,1,1,2,1,1,1,2,1,0.5,1,1,1
電,1,1,2,0.5,0.5,1,1,1,0,2,1,1,1,1,0.5,1,1,1
草,1,0.5,2,1,0.5,1,1,0.5,2,0.5,1,0.5,2,1,0.5,1,0.5,1
氷,1,0.5,0.5,1,2,0.5,1,1,2,2,1,1,1,1,2,1,0.5,1
格,2,1,1,1,1,2,1,0.5,1,0.5,0.5,0.5,2,0,1,2,2,0.5
毒,1,1,1,1,2,1,1,0.5,0.5,1,1,1,0.5,0.5,1,1,0,2
地,1,2,1,2,0.5,1,1,2,1,0,1,0.5,2,1,1,1,2,1
飛,1,1,1,0.5,2,1,2,1,1,1,1,2,0.5,1,1,1,0.5,1
超,1,1,1,1,1,1,2,2,1,1,0.5,1,1,1,1,0,0.5,1
虫,1,0.5,1,1,2,1,0.5,0.5,1,0.5,2,1,1,0.5,1,2,0.5,0.5
岩,1,2,1,1,1,2,0.5,1,0.5,2,1,2,1,1,1,1,0.5,1
霊,0,1,1,1,1,1,1,1,1,1,2,1,1,2,1,0.5,1,1
竜,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0.5,0
悪,1,1,1,1,1,1,0.5,1,1,1,2,1,1,2,1,0.5,1,0.5
鋼,1,0.5,0.5,0.5,1,2,1,1,1,1,1,1,2,1,1,1,0.5,2
妖,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,2,2,0.5,1
